,file_path,length,label
1452,train-clean-100/1235/135884/1235-135884-0034.flac,257280,
22011,train-clean-100/6000/86686/6000-86686-0008.flac,178400,
10701,train-clean-100/322/124147/322-124147-0013.flac,234080,
25580,train-clean-100/4195/17507/4195-17507-0042.flac,106160,
3206,train-clean-100/5049/25947/5049-25947-0098.flac,252080,
21736,train-clean-100/150/126107/150-126107-0034.flac,182240,
3022,train-clean-100/2159/179156/2159-179156-0022.flac,252560,
23540,train-clean-100/831/130746/831-130746-0036.flac,153120,
14807,train-clean-100/8838/298546/8838-298546-0015.flac,222240,
14895,train-clean-100/8975/270782/8975-270782-0066.flac,221920,
9142,train-clean-100/3526/176651/3526-176651-0001.flac,237761,
16608,train-clean-100/2518/154825/2518-154825-0017.flac,215600,
12945,train-clean-100/2836/5354/2836-5354-0047.flac,227920,
9168,train-clean-100/1963/142776/1963-142776-0011.flac,237760,
15171,train-clean-100/1898/145724/1898-145724-0027.flac,220960,
23229,train-clean-100/196/122150/196-122150-0040.flac,158720,
21851,train-clean-100/6880/216547/6880-216547-0029.flac,180480,
12486,train-clean-100/4014/186183/4014-186183-0014.flac,229360,
22570,train-clean-100/8088/284756/8088-284756-0041.flac,170800,
4728,train-clean-100/3235/28452/3235-28452-0006.flac,248320,
15640,train-clean-100/6531/61334/6531-61334-0094.flac,219280,
5571,train-clean-100/4788/91208/4788-91208-0024.flac,246320,
14112,train-clean-100/150/132655/150-132655-0016.flac,224400,
27111,train-clean-100/5456/62014/5456-62014-0016.flac,67920,
8961,train-clean-100/8226/274371/8226-274371-0048.flac,238240,
14503,train-clean-100/8838/298546/8838-298546-0043.flac,223200,
3794,train-clean-100/8797/294123/8797-294123-0072.flac,250560,
20873,train-clean-100/3112/9555/3112-9555-0082.flac,191360,
26503,train-clean-100/3486/166446/3486-166446-0042.flac,82320,
6529,train-clean-100/6147/34606/6147-34606-0034.flac,244000,
8026,train-clean-100/5022/29411/5022-29411-0042.flac,240560,
17683,train-clean-100/6454/93938/6454-93938-0003.flac,211200,
25513,train-clean-100/6454/107462/6454-107462-0035.flac,107760,
